version,order,chapter,text,duration_hint,visual_id,fact_ids,emphasis
v1,1,hook,"技术统计会记下九分、五个篮板和三次抢断。",3.0,hook-statline,D006,high
v1,2,hook,"但它很难写下，一个回合究竟能被打得多长。",3.0,hook-statline,,high
v1,3,hook,"接球、转身、再找空间，每一步都要花时间。",3.1,hook-track,,medium
v1,4,hook,"二零一五年总决赛，一名落选秀站到回合中央。",3.2,hook-reveal,"D005;D006",high
v1,5,hook,"他没有说，自己能真正阻止库里。",2.5,hook-reveal,D008,high
v1,6,hook,"他只是把比赛，一次次打到回合尽头。",2.6,hook-reveal,,high
v1,7,identity,"他叫马修·德拉维多瓦。",2.0,identity-name,D001,high
v1,8,identity,"名字很长，比赛方式却很直接。",2.3,identity-portrait,,medium
v1,9,identity,"盯住眼前的人，守住脚下的位置。",2.4,identity-portrait,,medium
v1,10,identity,"再把剩下的力气，交给下一次移动。",2.5,identity-route,,medium
v1,11,identity,"他的故事，不从聚光灯最亮处开始。",2.6,identity-route,,medium
v1,12,origin,"二零零九年，他进入圣玛丽学院。",2.8,origin-campus,D002,high
v1,13,origin,"直到二零一三年离开。",2.0,origin-campus,D002,medium
v1,14,origin,"四年间，他得到一千九百三十三分。",2.8,origin-numbers,D003,high
v1,15,origin,"还送出七百七十八次助攻。",2.2,origin-numbers,D003,high
v1,16,origin,"离校时，他已有多项数据领跑校史。",3.0,origin-recordwall,D004,high
v1,17,origin,"这说明，他并不是突然出现在NBA门口。",2.7,origin-bridge,"D003;D004",medium
v1,18,origin,"在此之前，他已经完成一段长期证明。",2.8,origin-bridge,"D002;D003;D004",medium
v1,19,undrafted,"但二零一三年选秀，没有球队选择他。",2.8,undrafted-emptyboard,D005,high
v1,20,undrafted,"大学数据，没有直接变成一个选秀顺位。",2.8,undrafted-emptyboard,"D003;D004;D005",medium
v1,21,undrafted,"可落选，也不等于没有下一场比赛。",2.7,undrafted-nextdoor,,high
v1,22,undrafted,"随后，他参加了夏季联赛。",2.3,undrafted-summer,D005,medium
v1,23,undrafted,"继续用比赛争取一个阵容位置。",2.7,undrafted-summer,D005,medium
v1,24,undrafted,"同年八月，骑士与他完成签约。",2.5,undrafted-contract,D005,high
v1,25,undrafted,"从等待选中到得到合同，没有捷径。",3.0,undrafted-contract,D005,medium
v1,26,grind,"落选以后，每次出场都像重新回答问题。",3.0,grind-loop,D005,medium
v1,27,grind,"能否在有限时间里，留下可信任的回合。",3.0,grind-clock,,medium
v1,28,grind,"有些答案来自得分。",2.0,grind-score,,low
v1,29,grind,"有些来自一次没有放弃的追赶。",2.4,grind-chase,,medium
v1,30,grind,"它们未必都会进入集锦。",2.2,grind-offscreen,,low
v1,31,grind,"却让故事继续落在下一个回合。",2.8,grind-nextpossession,,high
v1,32,finals,"二零一五年总决赛第二场，比赛进入加时。",2.7,finals-g2-clock,D006,high
v1,33,finals,"最终，骑士在加时赛取胜。",2.5,finals-g2-result,D006,high
v1,34,finals,"德拉维多瓦得到九分、五篮板、三抢断。",3.0,finals-g2-statline,D006,high
v1,35,finals,"关键时刻，他命中两次罚球。",2.7,finals-g2-freethrow,D006,high
v1,36,finals,"这两分，清楚地留在技术统计里。",2.3,finals-g2-freethrow,D006,medium
v1,37,finals,"另一部分比赛，写在库里的投篮数字中。",2.8,finals-g2-shooting,D007,medium
v1,38,finals,"那场比赛，库里二十三投五中。",2.5,finals-g2-shooting,D007,high
v1,39,finals,"三分球十五投两中。",2.5,finals-g2-shooting,D007,high
v1,40,finals,"这些数字属于一场比赛，也属于整支球队的防守计划。",3.2,finals-g2-matchup,"D007;D008",high
v1,41,finals,"这能描述那些回合，却不能概括整轮系列赛。",3.0,finals-g2-context,D007,medium
v1,42,finals,"他本人也说，没有人能真正阻止库里。",3.2,finals-g2-quote,D008,high
v1,43,finals,"所以准确的说法，是尽力增加每次出手的难度。",3.4,finals-g2-context,"D007;D008",high
v1,44,finals,"下一场，骑士以九十六比九十一获胜。",2.7,finals-g3-result,D009,high
v1,45,finals,"他打了三十九分钟，拿下二十分、五篮板、四助攻。",3.4,finals-g3-statline,D009,high
v1,46,cost,"赛后，严重抽筋让身体给出直接回应。",3.2,cost-cramp,D010,high
